source,target,source_sector,target_sector,best_lag,p_value,p_value_fdr_bh,edge_weight,n_obs,f_stat
IndustrialLogistics,Energy,IndustrialLogistics,Energy,5,1.3063259488010703e-05,0.0011756933539209633,2.9297059368193397,290,6.364152487651188
IndustrialLogistics,Banking,IndustrialLogistics,Banking,3,6.618646997159257e-05,0.0029783911487216656,2.526018267438016,290,7.60417672051684
Utilities,SteelMaterials,Utilities,SteelMaterials,3,0.00034159400331110174,0.009915823366641801,2.003671218045404,290,6.374657625493862
Utilities,RealEstate,Utilities,RealEstate,4,0.0004407032607396356,0.009915823366641801,2.003671218045404,290,5.239376865352059
Energy,Banking,Energy,Banking,4,0.0006871116275203697,0.012368009295366654,1.9077001970249639,290,4.97775777297916
Technology,RealEstate,Technology,RealEstate,5,0.0009055645204287196,0.013583467806430794,1.8669893422104071,290,4.285643136557874
IndustrialLogistics,RealEstate,IndustrialLogistics,RealEstate,4,0.0012600771365556883,0.01620099175571599,1.790458398985064,290,4.619975937842261
Energy,Utilities,Energy,Utilities,3,0.0016118055709442218,0.018132812673122493,1.741534825045537,290,5.216279395563052
Energy,Healthcare,Energy,Healthcare,3,0.0022441549693178655,0.02080570483944571,1.6818175669319904,290,4.969296424350264
IndustrialLogistics,Utilities,IndustrialLogistics,Utilities,5,0.0023625826086887194,0.02080570483944571,1.6818175669319904,290,3.8102179654621504
ConsumerStaples,ConsumerDiscretionary,ConsumerStaples,ConsumerDiscretionary,3,0.0025429194803766974,0.02080570483944571,1.6818175669319904,290,4.876015085236225
Technology,Healthcare,Technology,Healthcare,5,0.002988377227244897,0.022412829204336727,1.6495033183744632,290,3.6930478530916857
SteelMaterials,Banking,SteelMaterials,Banking,2,0.004320166484309057,0.029908844891370395,1.5242003595193658,290,5.550560359482682
Banking,RealEstate,Banking,RealEstate,3,0.00600812732051029,0.03720895487208462,1.4293525283031359,290,4.233740615493394
Technology,ConsumerStaples,Technology,ConsumerStaples,5,0.006614925310592822,0.03720895487208462,1.4293525283031359,290,3.2941414763943997
ConsumerDiscretionary,Energy,ConsumerDiscretionary,Energy,5,0.006439278987736526,0.03720895487208462,1.4293525283031359,290,3.307730895344223
RealEstate,Banking,RealEstate,Banking,3,0.008763782993890024,0.04639649820294719,1.3335147967840695,290,3.951181444422824
ConsumerDiscretionary,ConsumerStaples,ConsumerDiscretionary,ConsumerStaples,3,0.009608863185326751,0.04804431592663375,1.3183579858875987,290,3.8822008395965684
RealEstate,Energy,RealEstate,Energy,2,0.010273513364697208,0.04866401067488151,1.3127921012787838,290,4.653054335247349
