source_sector,target_sector,source_variable,target_variable,best_lag,n_obs,f_stat,p_value,p_value_fdr_bh,p_value_bonferroni,significant_raw_05,significant_fdr_05,significant_bonferroni_05,alpha,lag_selection_method,ljungbox_pvalue,ljungbox_white_noise,status,error_message,edge_weight
Banking,RealEstate,sent_Banking,sent_RealEstate,3,290,4.233740615493394,0.00600812732051029,0.03720895487208462,0.5407314588459261,True,True,False,0.05,var_aic,0.5751687610164818,True,ok,,1.4293525283031359
Banking,SteelMaterials,sent_Banking,sent_SteelMaterials,2,290,2.3700166554222437,0.09533220889644416,0.18255103831233987,1.0,False,False,False,0.05,var_aic,0.5546710501396237,True,ok,,0.7386156925305382
Banking,Technology,sent_Banking,sent_Technology,5,290,2.2733560563036175,0.04759313781887121,0.11576709199184888,1.0,True,False,False,0.05,var_aic,0.9457309633362612,True,ok,,0.9364148758197237
Banking,ConsumerStaples,sent_Banking,sent_ConsumerStaples,2,290,1.779272980844976,0.1706434024564087,0.30113541609954475,1.0,False,False,False,0.05,var_aic,0.22868626422997892,True,ok,,0.5212381647393236
Banking,ConsumerDiscretionary,sent_Banking,sent_ConsumerDiscretionary,5,290,2.1718267342317215,0.0574988273272221,0.13618143314342077,1.0,False,False,False,0.05,var_aic,0.4780894760692631,True,ok,,0.865882099714113
Banking,Energy,sent_Banking,sent_Energy,4,290,0.7390602915399357,0.5660308360194575,0.6448452562246983,1.0,False,False,False,0.05,var_aic,0.4033013762186494,True,ok,,0.1905444906835028
Banking,IndustrialLogistics,sent_Banking,sent_IndustrialLogistics,3,290,0.8967123965659227,0.44328352632686163,0.554104407908577,1.0,False,False,False,0.05,var_aic,0.5502625290495885,True,ok,,0.2564083950074713
Banking,Healthcare,sent_Banking,sent_Healthcare,3,290,1.4281314899683677,0.23477012097252134,0.37068966469345477,1.0,False,False,False,0.05,var_aic,0.1332544192714279,True,ok,,0.43098952249262223
Banking,Utilities,sent_Banking,sent_Utilities,5,290,0.7449400204736105,0.5904204293914643,0.6642229830653974,1.0,False,False,False,0.05,var_aic,0.506706884620138,True,ok,,0.17768610126730588
RealEstate,Banking,sent_RealEstate,sent_Banking,3,290,3.951181444422824,0.008763782993890024,0.04639649820294719,0.7887404694501021,True,True,False,0.05,var_aic,0.5751687610164822,True,ok,,1.3335147967840695
RealEstate,SteelMaterials,sent_RealEstate,sent_SteelMaterials,2,290,4.525115036696167,0.011628854015826421,0.0523298430712189,1.0,True,False,False,0.05,var_aic,0.17756567978475563,True,ok,,1.2812505676376684
RealEstate,Technology,sent_RealEstate,sent_Technology,5,290,0.5019338254403879,0.7747044887411764,0.8014184366288031,1.0,False,False,False,0.05,var_aic,0.7584236174961224,True,ok,,0.09614067084510375
RealEstate,ConsumerStaples,sent_RealEstate,sent_ConsumerStaples,3,290,1.5444795936103848,0.20322470588812686,0.33254951872602573,1.0,False,False,False,0.05,var_aic,0.3014047326344611,True,ok,,0.4781436763512035
RealEstate,ConsumerDiscretionary,sent_RealEstate,sent_ConsumerDiscretionary,4,290,2.714688605451274,0.03028339065215541,0.09689950129659608,1.0,True,False,False,0.05,var_aic,0.29282833884480586,True,ok,,1.0136784580853933
RealEstate,Energy,sent_RealEstate,sent_Energy,2,290,4.653054335247349,0.010273513364697208,0.04866401067488151,0.9246162028227487,True,True,False,0.05,var_aic,0.23754598302451535,True,ok,,1.3127921012787838
RealEstate,IndustrialLogistics,sent_RealEstate,sent_IndustrialLogistics,4,290,3.239655901784198,0.01278266158150808,0.054782835349320345,1.0,True,False,False,0.05,var_aic,0.68952206815604,True,ok,,1.2613554940846519
RealEstate,Healthcare,sent_RealEstate,sent_Healthcare,3,290,2.9392171876489797,0.03360136933602658,0.10080410800807975,1.0,True,False,False,0.05,var_aic,0.1206097106479771,True,ok,,0.9965217689928021
RealEstate,Utilities,sent_RealEstate,sent_Utilities,4,290,0.5401449622304912,0.7063682498570174,0.7568231248468044,1.0,False,False,False,0.05,var_aic,0.2634458168062348,True,ok,,0.12100560646893829
SteelMaterials,Banking,sent_SteelMaterials,sent_Banking,2,290,5.550560359482682,0.004320166484309057,0.029908844891370395,0.3888149835878151,True,True,False,0.05,var_aic,0.5546710501396231,True,ok,,1.5242003595193658
SteelMaterials,RealEstate,sent_SteelMaterials,sent_RealEstate,2,290,1.1350270494081762,0.32287210345839984,0.4402801410796362,1.0,False,False,False,0.05,var_aic,0.17756567978475563,True,ok,,0.35627090303476266
SteelMaterials,Technology,sent_SteelMaterials,sent_Technology,5,290,1.1278044858751748,0.3457973360868335,0.4578981938953975,1.0,False,False,False,0.05,var_aic,0.917606008438053,True,ok,,0.3392310694725419
SteelMaterials,ConsumerStaples,sent_SteelMaterials,sent_ConsumerStaples,3,290,0.1814913435085374,0.9089185878034787,0.9089185878034787,1.0,False,False,False,0.05,var_aic,0.6534072207324786,True,ok,,0.0414750149640896
SteelMaterials,ConsumerDiscretionary,sent_SteelMaterials,sent_ConsumerDiscretionary,5,290,0.8085657521655718,0.5443605892259653,0.6281083721838061,1.0,False,False,False,0.05,var_aic,0.34142110619825117,True,ok,,0.2019654177581687
SteelMaterials,Energy,sent_SteelMaterials,sent_Energy,4,290,2.842774367487533,0.024572932788641505,0.08846255803910942,1.0,True,False,False,0.05,var_aic,0.5008508158892377,True,ok,,1.0532405064517507
SteelMaterials,IndustrialLogistics,sent_SteelMaterials,sent_IndustrialLogistics,3,290,1.0262701735745878,0.38134045142325207,0.49740058881293747,1.0,False,False,False,0.05,var_aic,0.3622462716695335,True,ok,,0.30329370495659697
SteelMaterials,Healthcare,sent_SteelMaterials,sent_Healthcare,3,290,2.7991994395770243,0.040404429316586735,0.10894043514450023,1.0,True,False,False,0.05,var_aic,0.05419384892038259,True,ok,,0.9628108943421427
SteelMaterials,Utilities,sent_SteelMaterials,sent_Utilities,3,290,0.40622192682960834,0.7486452590532578,0.7926832154681553,1.0,False,False,False,0.05,var_aic,0.017684954740209983,False,ok,,0.10090033760164953
Technology,Banking,sent_Technology,sent_Banking,5,290,2.376317592326726,0.039222262018241486,0.10894043514450023,1.0,True,False,False,0.05,var_aic,0.9457309633362613,True,ok,,0.9628108943421427
Technology,RealEstate,sent_Technology,sent_RealEstate,5,290,4.285643136557874,0.0009055645204287196,0.013583467806430794,0.08150080683858477,True,True,False,0.05,var_aic,0.7584236174961214,True,ok,,1.8669893422104071
Technology,SteelMaterials,sent_Technology,sent_SteelMaterials,5,290,1.200780485993276,0.30900644050773385,0.4278550714722469,1.0,False,False,False,0.05,var_aic,0.9176060084380528,True,ok,,0.36870331584400334
Technology,ConsumerStaples,sent_Technology,sent_ConsumerStaples,5,290,3.2941414763943997,0.006614925310592822,0.03720895487208462,0.595343277953354,True,True,False,0.05,var_aic,0.7889729064704154,True,ok,,1.4293525283031359
Technology,ConsumerDiscretionary,sent_Technology,sent_ConsumerDiscretionary,5,290,2.3203973290590096,0.04357617405780009,0.10894043514450023,1.0,True,False,False,0.05,var_aic,0.20029774799225455,True,ok,,0.9628108943421427
Technology,Energy,sent_Technology,sent_Energy,5,290,2.7955904324189893,0.017579863563487952,0.07191762366881435,1.0,True,False,False,0.05,var_aic,0.6144617466931909,True,ok,,1.1431646711715358
Technology,IndustrialLogistics,sent_Technology,sent_IndustrialLogistics,5,290,1.8722674662912564,0.09931098327243622,0.18620809363581792,1.0,False,False,False,0.05,var_aic,0.9167688603792439,True,ok,,0.7300014460991338
Technology,Healthcare,sent_Technology,sent_Healthcare,5,290,3.6930478530916857,0.002988377227244897,0.022412829204336727,0.26895395045204074,True,True,False,0.05,var_aic,0.27434342506446413,True,ok,,1.6495033183744632
Technology,Utilities,sent_Technology,sent_Utilities,5,290,0.8896263572790825,0.4884263428719684,0.5924903775025598,1.0,False,False,False,0.05,var_aic,0.3835182054594435,True,ok,,0.22731869853553832
ConsumerStaples,Banking,sent_ConsumerStaples,sent_Banking,2,290,2.411849410738734,0.0914900366013403,0.17900224552436145,1.0,False,False,False,0.05,var_aic,0.2286862642299795,True,ok,,0.7471415209043402
ConsumerStaples,RealEstate,sent_ConsumerStaples,sent_RealEstate,3,290,2.462335476899537,0.06280820515456542,0.13787166985148508,1.0,False,False,False,0.05,var_aic,0.3014047326344611,True,ok,,0.8605249643620183
ConsumerStaples,SteelMaterials,sent_ConsumerStaples,sent_SteelMaterials,3,290,1.3464998560108308,0.2595504941378544,0.39592448258316776,1.0,False,False,False,0.05,var_aic,0.6534072207324786,True,ok,,0.40238764216791967
